documentType;periodOfReport;rptOwnerCik;rptOwnerName;isDirector;isOfficer;isTenPercentOwner;isOther;issuerCik;issuerName;issuerTradingSymbol;securityTitle;transactionDate;deemedExecutionDate;transactionFormType;transactionCode;transactionTimeliness;transactionShares;transactionPricePerShare;transactionAcquiredDisposedCode;sharesOwnedFollowingTransaction;directOrIndirectOwnership
4;2019-12-31;0001408469;FISHER CHARLES J JR;1;0;0;0;0000882291;AETHLON MEDICAL INC;AEMD;Common Stock;2019-12-31;;4;F;;;;D;4919;D;
4;2019-12-30;0001663020;Tang Michael;1;1;0;0;0001090872;AGILENT TECHNOLOGIES, INC.;A;Common Stock;2019-12-30;;4;S;;;;D;72166.742;D;
4;2019-12-31;0001450324;EQUELS THOMAS K.;1;1;0;0;0000946644;AIM ImmunoTech Inc.;AIM;Common Stock;2019-12-31;;4;A;;;;A;160990;D;
4;2019-12-31;0001583701;RODINO III PETER W.;0;1;0;0;0000946644;AIM ImmunoTech Inc.;AIM;Common Stock;2019-12-31;;4;A;;;;A;58290;D;
4;2019-12-31;0001788908;LINTAL ELLEN M;0;1;0;0;0000946644;AIM ImmunoTech Inc.;AIM;Common Stock;2019-12-31;;4;A;;;;A;22892;D;
4;2020-01-01;0001792555;Barichivich John Clarence III;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;2423;D;
4;2020-01-01;0001792555;Barichivich John Clarence III;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;2265;D;
4;2020-01-01;0001776567;Ryan David Terrence;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;3378;D;
4;2020-01-01;0001776567;Ryan David Terrence;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;3027;D;
4;2020-01-01;0001266395;KISSAM LUTHER C IV;1;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;333408;D;
4;2020-01-01;0001266395;KISSAM LUTHER C IV;1;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;319566;D;
4;2020-01-01;0001776484;Crawford Raphael Goszcz;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;6634;D;
4;2020-01-01;0001776484;Crawford Raphael Goszcz;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;5469;D;
4;2020-01-01;0001511133;Tozier Scott;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;57630;D;
4;2020-01-01;0001511133;Tozier Scott;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;55178;D;
4;2020-01-01;0001095670;NARWOLD KAREN G;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;M;;;;A;44591;D;
4;2020-01-01;0001095670;NARWOLD KAREN G;0;1;0;0;0000915913;ALBEMARLE CORP;ALB;Common Stock;2020-01-01;;4;F;;;;D;42562;D;
4;2019-12-31;0001091619;ALEXANDER STILES BARBARA;1;0;0;0;0000804328;QUALCOMM INC/DE;QCOM;Common Stock;2019-12-31;;4;A;;;;A;2533.0685;D;
4;2019-12-31;0001489532;Holland David;0;1;0;0;0001267602;ALIMERA SCIENCES INC;ALIM;Common Stock;2019-12-31;;4;A;;;;A;18141;D;
4;2019-12-31;0001773634;Kaba Samer;0;1;0;0;0001267602;ALIMERA SCIENCES INC;ALIM;Common Stock;2019-12-31;;4;A;;;;A;5672;D;
4;2019-12-31;0001374256;EISWIRTH RICHARD S JR;1;1;0;0;0001267602;ALIMERA SCIENCES INC;ALIM;Common Stock;2019-12-31;;4;A;;;;A;31908;D;
4;2019-12-31;0001762007;Jones John Philip;0;1;0;0;0001267602;ALIMERA SCIENCES INC;ALIM;Common Stock;2019-12-31;;4;A;;;;A;9686;D;
4;2019-12-30;0001787488;Xue Bing;0;1;0;0;0001387467;ALPHA & OMEGA SEMICONDUCTOR Ltd;AOSL;Common Share;2019-12-30;;4;S;;;;D;30592;D;
4;2019-12-30;0001646597;SHEEHY BRIAN L.;0;1;true;0;0000020639;AMBASE CORP;ABCP;Common Stock, $0.01 par value;2019-12-30;;4;S;;;;D;0;I;
4;2014-12-01;0001629682;Sullivan Michael Francis;0;1;0;0;0000945828;AMERITYRE CORP;AMTY;Common stock;2018-06-30;;4;A;;;;A;4122581;D;
4;2014-12-01;0001629682;Sullivan Michael Francis;0;1;0;0;0000945828;AMERITYRE CORP;AMTY;Common stock;2018-09-30;;4;A;;;;A;6102581;D;
4;2014-12-01;0001629682;Sullivan Michael Francis;0;1;0;0;0000945828;AMERITYRE CORP;AMTY;Common stock;2019-12-18;;4;A;;;;A;8082581;D;
4;2019-12-31;0001513988;AMIN TARANG;1;1;0;0;0001600033;e.l.f. Beauty, Inc.;ELF;Common Stock, $0.01 par value;2019-12-31;;4;S;;;;D;3498554;I;
4;2019-12-18;0001167314;ANDERSON GERARD M;1;1;0;0;0000936340;DTE ENERGY CO;DTE;Common Stock;2019-12-18;;5;G;E;;;D;493412;I;
4;2019-12-30;0001693085;MAHONEY RICHARD S.;false;true;false;false;0001013462;ANSYS INC;ANSS;Common Stock;2019-12-30;;4;F;;;;D;30129;D;
4;2019-12-30;0001693085;MAHONEY RICHARD S.;false;true;false;false;0001013462;ANSYS INC;ANSS;Common Stock;2020-01-02;;4;M;;;;A;37629;D;
4;2019-12-30;0001693085;MAHONEY RICHARD S.;false;true;false;false;0001013462;ANSYS INC;ANSS;Common Stock;2020-01-02;;4;S;;;;D;35140;D;
4;2019-12-30;0001693085;MAHONEY RICHARD S.;false;true;false;false;0001013462;ANSYS INC;ANSS;Common Stock;2020-01-02;;4;S;;;;D;29812;D;
4;2019-12-30;0001693085;MAHONEY RICHARD S.;false;true;false;false;0001013462;ANSYS INC;ANSS;Common Stock;2020-01-02;;4;S;;;;D;29282;D;
4;2019-12-30;0000938333;DUCA MAURICE J;0;0;1;0;0001433195;APPFOLIO INC;APPF;Class A Common Stock;2019-12-30;;4;J;;;;D;27509;I;
4;2019-12-31;0001295366;Wallace Peter C;1;0;0;0;0000109563;APPLIED INDUSTRIAL TECHNOLOGIES INC;AIT;Common Stock;2019-12-31;;4;A;;;;A;11824.01;I;
4;2019-12-31;0001189865;DORSMAN PETER A;1;0;0;0;0000109563;APPLIED INDUSTRIAL TECHNOLOGIES INC;AIT;Common Stock;2019-12-31;;4;A;;;;A;38138.10;I;
4;2019-12-30;0001213041;GRAMMER ELIZABETH A;0;1;0;0;0001437402;ARDELYX, INC.;ARDX;Common Stock;2019-12-30;;4;P;;;;A;2066;I;
4;2019-12-30;0001022585;MCCONNELL J WARD JR;1;0;1;0;0000007623;ARTS WAY MANUFACTURING CO INC;ARTW;Common Stock;2019-12-30;;4;P;;;;A;2056982;I;
4;2019-12-30;0001022585;MCCONNELL J WARD JR;1;0;1;0;0000007623;ARTS WAY MANUFACTURING CO INC;ARTW;Common Stock;2019-12-31;;4;P;;;;A;2057033;I;
4;2019-12-31;0001076562;ASHMAN STEPHEN N;1;0;0;0;0001419536;Capital Bancorp Inc;CBNK;Common Stock;2019-12-31;;4;A;;;;A;550;D;
4;2019-12-31;0001203342;AUCIAUX ROBERT;1;0;0;0;0000896264;USANA HEALTH SCIENCES INC;USNA;Common Stock;2019-12-31;;4;M;;;;A;560;D;
4;2019-12-31;0001203342;AUCIAUX ROBERT;1;0;0;0;0000896264;USANA HEALTH SCIENCES INC;USNA;Common Stock;2019-12-31;;4;F;;;;D;461;D;
4;2019-12-31;0001673869;Axar GP, LLC;1;0;1;1;0001286131;STONEMOR PARTNERS LP;STON;Common Units;2019-12-31;;4;D;;;;D;0;I;
4;2019-12-31;0001673869;Axar GP, LLC;1;0;1;1;0001753886;Stonemor Inc.;STON;Common Stock, par value $0.01 ("Common Stock");2019-12-31;;4;A;;;;A;11674095;I;
4;2019-12-31;0001673869;Axar GP, LLC;1;0;1;1;0001753886;Stonemor Inc.;STON;Common Stock;2019-12-31;;4;M;;;;A;49517272;I;
4;2019-12-30;0001776223;Aboelnaga Mona;1;0;0;0;0001070154;STERLING BANCORP;STL;Common Stock;2019-12-30;;4;A;;;;A;2087;D;
4;2020-01-02;0001326633;Abraham Spencer;1;0;0;0;0001334933;URANIUM ENERGY CORP;UEC;Common Stock;2020-01-02;;4;A;;;;A;165872;D;
4;2019-12-31;0001532139;Ada Patricia Ann Perez;1;0;0;0;0001527383;BankGuam Holding Co;BKGM;Common Stock;2019-12-31;;4;P;;;;A;64466;D;
4;2019-12-31;0001669918;Adamo Nicola;1;0;0;0;0001315255;GTT Communications, Inc.;GTT;Common Stock, par value $.0001 per share;2019-12-31;;4;A;;;;A;84895;D;
4;2019-12-30;0001666423;Alta Fundamental Advisers SP LLC;1;0;0;0;0001515156;Advanced Emissions Solutions, Inc.;ADES;Common Stock;2019-12-30;;4;P;;;;A;1862203;I;
4;2019-12-30;0001666423;Alta Fundamental Advisers SP LLC;1;0;0;0;0001515156;Advanced Emissions Solutions, Inc.;ADES;Common Stock;2019-12-31;;4;P;;;;A;1966647;I;
4;2019-12-30;0001422478;Marcus Clark A.;1;1;1;0;0000022872;Advanzeon Solutions, Inc.;CHCR;Common Stock;2019-12-30;;4;P;;;;A;29192924;D;
4;2019-12-30;0001422478;Marcus Clark A.;1;1;1;0;0000022872;Advanzeon Solutions, Inc.;CHCR;Common Stock;2019-12-30;;4;P;;;;A;29196424;D;
4;2019-12-30;0001383773;Conver Timothy E;1;0;0;1;0001368622;AeroVironment Inc;AVAV;Common Stock;2019-12-30;;4;S;;;;D;1068013;I;
4;2019-12-30;0001383773;Conver Timothy E;1;0;0;1;0001368622;AeroVironment Inc;AVAV;Common Stock;2019-12-31;;4;S;;;;D;1061117;I;
4;2019-12-31;0001316282;Aggers Jane F;1;0;0;0;0001017480;HIBBETT SPORTS INC;HIBB;Common Stock, par value $.01 per share;2019-12-31;;4;A;;;;A;212;D;
4;2019-12-31;0001381112;Ahearn Michael J;1;0;0;0;0001274494;FIRST SOLAR, INC.;FSLR;Common Stock;2019-12-31;;4;A;;;;A;51953;D;
4;2019-12-31;0001488402;Corrado Richard Francis;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;118070;D;
4;2019-12-31;0001577074;Fedders Matthew E.;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;28741;D;
4;2019-12-31;0001185320;HETE JOSEPH C;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;669390;D;
4;2019-12-31;0001660468;O'Grady James F.;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;49086;D;
4;2019-12-31;0001275365;PAYNE W JOSEPH;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;143739;D;
4;2019-12-31;0001777167;Pradetto James T.;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;3554;D;
4;2019-12-31;0001643149;Smethwick Edward Russell;0;0;0;1;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;24596;D;
4;2019-12-31;0001362834;Templeton Brady Thomas;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;89784;D;
4;2019-12-31;0001258198;TURNER QUINT O;0;1;0;0;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;201350;D;
4;2019-12-31;0001734550;Williams Sarah Elizabeth;0;0;0;1;0000894081;Air Transport Services Group, Inc.;ATSG;Common Stock;2019-12-31;;4;F;;;;D;14297;D;
4;2019-12-31;0001708269;Atlas Venture Fund XI, L.P.;0;0;1;0;0001744659;Akero Therapeutics, Inc.;AKRO;Common Stock;2019-12-31;;4;J;;;;D;2706412;I;
